,precision,recall,f1-score,support
0,0.0,0.0,0.0,6.0
1,0.0,0.0,0.0,256.0
2,0.8614282418521128,0.8994114813223442,0.8800101915696609,460818.0
3,0.7744812147791414,0.7524461839530333,0.7633047060230147,224840.0
4,0.8761704119850188,0.337085734870317,0.48686264308012484,22208.0
accuracy,0.8347798703059334,0.8347798703059334,0.8347798703059334,0.8347798703059334
macro avg,0.5024159737232546,0.3977886800291389,0.4260355081345601,708128.0
weighted avg,0.8339650294778803,0.8347798703059334,0.83029934155758,708128.0
