,precision,recall,f1-score,support
0,0.0,0.0,0.0,6.0
1,0.0,0.0,0.0,256.0
2,0.7803999265017216,0.8479269472980656,0.8127632577924307,460818.0
3,0.6329151920367564,0.5814267923856965,0.6060794317889422,224840.0
4,0.4633596392333709,0.018506844380403457,0.03559211950638666,22208.0
accuracy,0.7369839915947399,0.7369839915947399,0.7369839915947399,0.7369839915947399
macro avg,0.3753349515543698,0.2895721168128331,0.2908869618175519,708128.0
weighted avg,0.723339955454818,0.7369839915947399,0.7224643964972659,708128.0
