,precision,recall,f1-score,support
0,0.0,0.0,0.0,6.0
1,0.004807692307692308,0.00390625,0.004310344827586207,256.0
2,0.7867035550792187,0.8219296989266912,0.803930932747514,460818.0
3,0.6206403139579867,0.5922389254581035,0.6061070891301825,224840.0
4,0.456780798925814,0.24509185878962536,0.3190130113702966,22208.0
accuracy,0.7306066134936057,0.7306066134936057,0.7306066134936057,0.7306066134936057
macro avg,0.3737864720541424,0.332633346634884,0.3466722756151158,708128.0
weighted avg,0.7233400540390782,0.7306066134936057,0.7256155764094366,708128.0
