,precision,recall,f1-score,support
0,0.0,0.0,0.0,6.0
1,0.0027472527472527475,0.00390625,0.0032258064516129032,256.0
2,0.8711199338874775,0.8646624046803727,0.8678791575003812,460818.0
3,0.7476707320304151,0.7530777441736346,0.7503644977022242,224840.0
4,0.42893613459445884,0.4615003602305475,0.4446227929373997,22208.0
accuracy,0.8162705047674996,0.8162705047674996,0.8162705047674996,0.8162705047674996
macro avg,0.4100948106519208,0.41662935181691096,0.41321845091832354,708128.0
weighted avg,0.8177342938814102,0.8162705047674996,0.8169727790122466,708128.0
