,precision,recall,f1-score,support
0,0.0,0.0,0.0,6.0
1,0.005,0.00390625,0.0043859649122807015,256.0
2,0.7965620338179027,0.8308139004986784,0.8133275125311885,460818.0
3,0.6433527060542468,0.6149306173278776,0.6288206627901953,224840.0
4,0.4546482513528794,0.2534672190201729,0.3254791985891468,22208.0
accuracy,0.7438556306204528,0.7438556306204528,0.7438556306204528,0.7438556306204528
macro avg,0.3799125982450058,0.3406235973693458,0.35440266776456225,708128.0
weighted avg,0.736900184846779,0.7438556306204528,0.7391451267858777,708128.0
