,precision,recall,f1-score,support
0,0.0,0.0,0.0,6.0
1,0.0,0.0,0.0,256.0
2,0.8762896068134546,0.8694343536927811,0.8728485203658699,460818.0
3,0.7567517573066963,0.7641967621419676,0.760456038168412,224840.0
4,0.4410276041002084,0.466903818443804,0.4535969728121787,22208.0
accuracy,0.8230743594378418,0.8230743594378418,0.8230743594378418,0.8230743594378418
macro avg,0.4148137936440719,0.4201069868557106,0.41738030626929207,708128.0
weighted avg,0.8243600453269148,0.8230743594378418,0.8236910934915129,708128.0
