,precision,recall,f1-score,support
1,0.0,0.0,0.0,2.0
2,0.974025974025974,0.38819875776397517,0.5551443375277573,966.0
3,0.0,0.0,0.0,680.0
4,0.0015810276679841897,1.0,0.0031570639305445935,2.0
accuracy,0.22848484848484849,0.22848484848484849,0.22848484848484849,0.22848484848484849
macro avg,0.24390175042348955,0.3470496894409938,0.13957535036457547,1650.0
weighted avg,0.5702498502814708,0.22848484848484849,0.3250156025331361,1650.0
