,precision,recall,f1-score,support
0,0.0,0.0,0.0,6.0
1,0.0,0.0,0.0,256.0
2,0.7818897984684887,0.8473128219817803,0.8132877314376055,460818.0
3,0.6338465239355304,0.5859500088952144,0.6089579144422104,224840.0
4,0.4334811529933481,0.017606268011527378,0.033838165296408484,22208.0
accuracy,0.7379922838808803,0.7379922838808803,0.7379922838808803,0.7379922838808803
macro avg,0.36984349507947345,0.29017381977770446,0.2912167622352449,708128.0
weighted avg,0.7236681716271535,0.7379922838808803,0.7236646500120087,708128.0
