,precision,recall,f1-score,support
0,0.0,0.0,0.0,6.0
1,0.0,0.0,0.0,256.0
2,0.8800052108612839,0.9088620670199514,0.8942008888205674,460818.0
3,0.8003953548061726,0.7905666251556662,0.7954506297561751,224840.0
4,0.8302203775076589,0.3782871037463977,0.5197512914900856,22208.0
accuracy,0.8543257716119119,0.8543257716119119,0.8543257716119119,0.8543257716119119
macro avg,0.5021241886350231,0.4155431591844031,0.4418805620133656,708128.0
weighted avg,0.8528411063776395,0.8543257716119119,0.850772207087287,708128.0
